s,a,t,b
81,77,0,45
81,77,0,45
81,74,0,45
81,74,0,45
81,71,0,45
81,71,0,45
81,71,0,45
74,71,0,45
74,71,0,45
79,76,0,45
79,76,0,45
79,76,0,45
79,73,0,45
79,73,0,45
79,69,0,45
79,69,0,45
73,69,0,45
73,69,0,45
73,69,0,45
77,74,53,45
77,74,53,45
77,69,50,45
77,69,50,45
77,69,50,45
77,70,55,45
77,70,55,45
74,70,55,45
74,70,55,45
76,70,55,45
76,70,55,45
76,70,55,45
76,67,49,45
76,67,49,45
76,69,53,45
76,69,53,45
76,69,53,45
73,69,53,45
73,69,53,45
74,69,53,45
74,69,53,45
74,65,50,45
74,65,50,45
74,65,50,45
74,64,57,45
74,64,57,45
71,64,57,45
71,64,57,45
71,64,57,45
72,64,57,45
72,64,57,45
72,67,57,45
72,67,57,45
72,66,50,46
72,66,50,46
72,66,50,46
72,62,50,46
72,62,50,46
70,67,62,46
70,67,62,46
70,67,62,46
70,67,62,43
70,67,62,43
69,67,62,50
69,67,62,50
69,64,62,50
69,64,62,50
69,64,62,50
69,65,57,50
69,65,57,50
69,65,53,50
69,65,53,50
69,65,53,50
74,65,58,50
74,65,58,50
77,74,58,46
77,74,58,46
76,72,58,48
76,72,58,48
76,72,58,48
79,72,58,48
79,72,58,48
77,72,58,53
77,72,58,53
77,72,58,53
76,72,56,53
76,72,56,53
74,72,57,53
74,72,57,53
74,72,57,53
74,72,57,53
74,72,57,53
74,70,62,53
74,70,62,53
77,69,62,50
77,69,62,50
77,69,62,50
77,68,62,52
77,68,62,52
76,68,62,52
76,68,62,52
77,69,62,57
77,69,62,57
77,69,62,57
74,69,59,57
74,69,59,57
76,69,60,57
76,69,60,57
76,69,60,57
76,64,60,57
76,64,60,57
76,69,65,57
76,69,65,57
74,69,65,53
74,69,65,53
74,69,65,53
72,67,65,55
72,67,65,55
71,67,65,55
71,67,65,55
71,67,65,55
72,67,65,60
72,67,65,60
72,67,62,60
72,67,62,60
72,67,63,60
72,67,63,60
72,67,63,60
81,72,63,60
81,72,63,60
79,69,62,60
79,69,62,60
79,69,62,60
78,69,62,57
78,69,62,57
79,67,62,58
79,67,62,58
82,67,62,58
82,67,62,58
82,67,62,58
73,67,64,58
73,67,64,58
73,67,64,58
73,67,64,58
73,67,64,58
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
74,69,65,57
74,69,65,57
74,69,65,57
74,69,65,57
74,69,65,57
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
74,71,65,56
74,71,65,56
74,71,65,56
74,71,65,56
74,71,65,56
74,71,65,56
74,71,65,56
74,71,65,56
74,71,65,56
74,71,65,56
74,69,65,57
74,69,65,57
74,69,65,57
74,69,65,57
74,69,65,57
74,69,64,57
74,69,64,57
74,69,62,57
74,69,62,57
74,69,64,57
74,69,64,57
74,69,64,57
71,69,64,57
71,69,64,57
73,69,0,45
73,69,0,45
73,69,0,45
73,67,0,45
73,67,0,45
74,66,57,50
74,66,57,50
74,67,57,50
74,67,57,50
74,67,57,50
74,69,57,50
74,69,57,50
72,69,57,50
72,69,57,50
72,69,57,50
70,69,62,50
70,69,62,50
70,67,62,50
70,67,62,50
70,72,62,50
70,72,62,50
70,72,62,50
69,72,62,50
69,72,62,50
62,72,58,50
62,72,58,50
62,72,58,50
62,66,58,50
62,66,58,50
62,67,58,50
62,67,58,50
62,70,58,50
62,70,58,50
62,70,58,50
0,63,55,50
0,63,55,50
67,63,55,50
67,63,55,50
67,63,55,50
69,63,55,50
69,63,55,50
72,63,55,50
72,63,55,50
72,62,54,50
72,62,54,50
72,62,54,50
70,62,54,50
70,62,54,50
72,57,54,50
72,57,54,50
72,57,54,50
75,57,54,50
75,57,54,50
75,58,55,50
75,58,55,50
74,58,55,50
74,58,55,50
74,58,55,50
78,60,57,50
78,60,57,50
81,60,57,50
81,60,57,50
81,60,57,50
81,62,58,50
81,62,58,50
79,62,58,50
81,62,58,50
82,55,58,50
82,55,58,50
82,55,58,50
73,55,58,50
73,55,58,50
74,55,58,50
74,55,58,50
74,55,58,50
74,70,60,50
74,70,60,50
74,69,58,50
74,69,58,50
74,67,57,50
74,67,57,50
74,67,57,50
74,67,55,50
74,67,55,50
74,66,55,50
74,66,55,50
74,66,55,50
74,64,55,50
74,64,55,50
74,67,55,50
74,67,55,50
74,66,55,50
74,66,55,50
74,66,55,50
74,66,55,50
74,66,55,50
74,66,55,50
74,66,55,50
74,66,55,50
74,66,55,50
74,66,55,50
